Replicate Name,File Name,Sample Type,Isotope Label Type,Fragment Ion Type,Transition Note,Analyte Concentration,Molecule List Name,Molecule Name,Precursor Mz,Product Mz,Points Across Peak,Background,Area,Fwhm
MQ1,mtab_Zoop2_BC_lumos_071423_003.raw,Double Blank,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,16,0,0,0.07
MQ2,mtab_Zoop2_BC_lumos_071423_096.raw,Double Blank,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,14,0,0,0.08
1_std0,mtab_Zoop2_BC_lumos_071423_009.raw,Standard,light,precursor,,0,molecules,2′deoxycytidine,330.1095,330.1095,12,0,1630,0.01
2_std0,mtab_Zoop2_BC_lumos_071423_010.raw,Standard,light,precursor,,0,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
3_std0,mtab_Zoop2_BC_lumos_071423_011.raw,Standard,light,precursor,,0,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
4_std5,mtab_Zoop2_BC_lumos_071423_012.raw,Standard,light,precursor,,5,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
5_std10,mtab_Zoop2_BC_lumos_071423_013.raw,Standard,light,precursor,,10,molecules,2′deoxycytidine,330.1095,330.1095,12,0,0,0.08
6_std20,mtab_Zoop2_BC_lumos_071423_014.raw,Standard,light,precursor,,20,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
7_std30,mtab_Zoop2_BC_lumos_071423_015.raw,Standard,light,precursor,,30,molecules,2′deoxycytidine,330.1095,330.1095,13,0,1713,0.01
8_std50,mtab_Zoop2_BC_lumos_071423_016.raw,Standard,light,precursor,,50,molecules,2′deoxycytidine,330.1095,330.1095,12,0,348,0
9_std70,mtab_Zoop2_BC_lumos_071423_017.raw,Standard,light,precursor,,70,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
10_std85,mtab_Zoop2_BC_lumos_071423_018.raw,Standard,light,precursor,,85,molecules,2′deoxycytidine,330.1095,330.1095,13,0,2287,0.01
11_std100,mtab_Zoop2_BC_lumos_071423_019.raw,Standard,light,precursor,,100,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
12_std300,mtab_Zoop2_BC_lumos_071423_020.raw,Standard,light,precursor,,300,molecules,2′deoxycytidine,330.1095,330.1095,13,0,1160,0.07
13_std500,mtab_Zoop2_BC_lumos_071423_021.raw,Standard,light,precursor,,500,molecules,2′deoxycytidine,330.1095,330.1095,13,0,3131,0.01
14_std700,mtab_Zoop2_BC_lumos_071423_022.raw,Standard,light,precursor,,700,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
15_std1000,mtab_Zoop2_BC_lumos_071423_023.raw,Standard,light,precursor,,1000,molecules,2′deoxycytidine,330.1095,330.1095,13,0,4193,0.01
16_std3000,mtab_Zoop2_BC_lumos_071423_024.raw,Standard,light,precursor,,3000,molecules,2′deoxycytidine,330.1095,330.1095,12,0,31878,0.07
17_std7000,mtab_Zoop2_BC_lumos_071423_025.raw,Standard,light,precursor,,7000,molecules,2′deoxycytidine,330.1095,330.1095,12,28285,19501,0.02
pool1,mtab_Zoop2_BC_lumos_071423_027.raw,Quality Control,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
pool2,mtab_Zoop2_BC_lumos_071423_039.raw,Quality Control,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,11,0,0,0.08
pool3,mtab_Zoop2_BC_lumos_071423_051.raw,Quality Control,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,12,0,5797,0.01
18_t0_ctrl_6,mtab_Zoop2_BC_lumos_071423_033.raw,Unknown,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
19_t0_ctrl_16,mtab_Zoop2_BC_lumos_071423_050.raw,Unknown,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,12,0,0,0.08
