Replicate,File Name,Sample Type,Molecule Name,Analyte Concentration,Area,Product Mz,Background,Points Across Peak,RatioLightToHeavy,Slope,Intercept,R Squared,Error Message,Accuracy,Calculated Concentration,Fwhm,Precursor Mz,Fragment Ion Type,Isotope Label Type,Normalized Area
MQ1,mtab_Zoop2_BC_lumos_071423_001.raw,Double Blank,2′deoxycytidine,,0,332.1241,0,21,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-5.5809E+1,0.1,332.1241,precursor,light,0.0000E+0
MQ2,mtab_Zoop2_BC_lumos_071423_095.raw,Double Blank,2′deoxycytidine,,0,332.1241,0,18,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,NaN,0.1,332.1241,precursor,light,NaN
1_std0,mtab_Zoop2_BC_lumos_071423_052.raw,Standard,2′deoxycytidine,0,96145,332.1241,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,-∞,-2.2428E+1,0.03,332.1241,precursor,light,3.9130E-2
2_std0,mtab_Zoop2_BC_lumos_071423_053.raw,Standard,2′deoxycytidine,0,108145,332.1241,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,-∞,-1.4046E+1,0.04,332.1241,precursor,light,4.8955E-2
3_std0,mtab_Zoop2_BC_lumos_071423_054.raw,Standard,2′deoxycytidine,0,83652,332.1241,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,-∞,-3.0156E+1,0.03,332.1241,precursor,light,3.0071E-2
4_std5,mtab_Zoop2_BC_lumos_071423_055.raw,Standard,2′deoxycytidine,5,59630,332.1241,34909,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,-671.9%,-3.3596E+1,0.04,332.1241,precursor,light,2.6039E-2
5_std10,mtab_Zoop2_BC_lumos_071423_056.raw,Standard,2′deoxycytidine,10,107873,332.1241,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,-212.6%,-2.1262E+1,0.02,332.1241,precursor,light,4.0497E-2
6_std20,mtab_Zoop2_BC_lumos_071423_057.raw,Standard,2′deoxycytidine,20,175035,332.1241,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,65.5%,1.3100E+1,0.03,332.1241,precursor,light,8.0776E-2
7_std30,mtab_Zoop2_BC_lumos_071423_058.raw,Standard,2′deoxycytidine,30,178495,332.1241,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,99.8%,2.9926E+1,0.03,332.1241,precursor,light,1.0050E-1
8_std50,mtab_Zoop2_BC_lumos_071423_059.raw,Standard,2′deoxycytidine,50,181481,332.1241,51753,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,43.6%,2.1790E+1,0.02,332.1241,precursor,light,9.0963E-2
9_std70,mtab_Zoop2_BC_lumos_071423_060.raw,Standard,2′deoxycytidine,70,275594,332.1241,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,99.1%,6.9404E+1,0.03,332.1241,precursor,light,1.4678E-1
10_std85,mtab_Zoop2_BC_lumos_071423_061.raw,Standard,2′deoxycytidine,85,346368,332.1241,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,121.6%,1.0332E+2,0.03,332.1241,precursor,light,1.8653E-1
11_std100,mtab_Zoop2_BC_lumos_071423_062.raw,Standard,2′deoxycytidine,100,243493,332.1241,75387,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,63.8%,6.3758E+1,0.02,332.1241,precursor,light,1.4016E-1
